timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,group_index
2025-03-09 20:26:26.443657,none,-209,7894,-1411,-32,14,-71,user1,0
2025-03-09 20:26:26.447680,none,-215,7945,-1435,-41,15,-73,user1,0
2025-03-09 20:26:26.452058,none,-189,7991,-1414,-45,18,-68,user1,0
2025-03-09 20:26:26.456520,none,-215,7987,-1438,-53,17,-67,user1,0
2025-03-09 20:26:26.460636,none,-194,8023,-1467,-63,15,-65,user1,0
2025-03-09 20:26:26.464664,none,-222,8009,-1481,-77,13,-66,user1,0
2025-03-09 20:26:26.469028,none,-194,8022,-1475,-99,10,-62,user1,0
2025-03-09 20:26:26.473052,none,-150,8029,-1453,-117,6,-50,user1,0
2025-03-09 20:26:26.477187,none,-155,8031,-1479,-153,-7,-29,user1,0
2025-03-09 20:26:26.481548,none,-171,8027,-1461,-171,-12,-12,user1,0
2025-03-09 20:26:26.486090,none,-194,8044,-1475,-188,-16,0,user1,0
2025-03-09 20:26:26.490548,none,-201,8076,-1486,-202,-19,8,user1,0
2025-03-09 20:26:26.494571,none,-278,8138,-1470,-210,-14,16,user1,0
2025-03-09 20:26:26.498722,none,-288,8153,-1451,-213,-13,22,user1,0
2025-03-09 20:26:26.503149,none,-299,8178,-1450,-212,-11,24,user1,0
2025-03-09 20:26:26.507176,none,-374,8223,-1398,-206,-5,24,user1,0
2025-03-09 20:26:26.511667,none,-440,8250,-1393,-189,-3,18,user1,0
2025-03-09 20:26:26.515698,none,-461,8265,-1361,-166,2,17,user1,0
2025-03-09 20:26:26.519827,none,-524,8277,-1346,-144,4,12,user1,0
2025-03-09 20:26:26.523855,none,-546,8273,-1288,-127,12,8,user1,0
2025-03-09 20:26:26.527901,none,-545,8295,-1219,-115,22,0,user1,0
2025-03-09 20:26:26.532200,none,-557,8288,-1199,-109,34,-8,user1,0
2025-03-09 20:26:26.536268,none,-511,8309,-1211,-104,47,-14,user1,0
