timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file,group_index
2025-04-02 12:05:25.784210,none,-409,6632,-5118,51,-3,16,u1l_non-haptic,audio_u1l_non-haptic_20250402_120524.wav,0
2025-04-02 12:05:25.789237,none,-329,6593,-5166,28,-4,58,u1l_non-haptic,audio_u1l_non-haptic_20250402_120524.wav,0
2025-04-02 12:05:25.794254,none,-283,6620,-5143,13,0,69,u1l_non-haptic,audio_u1l_non-haptic_20250402_120524.wav,0
2025-04-02 12:05:25.799280,none,-299,6732,-5150,2,0,70,u1l_non-haptic,audio_u1l_non-haptic_20250402_120524.wav,0
2025-04-02 12:05:25.804307,none,-302,6730,-5168,1,2,61,u1l_non-haptic,audio_u1l_non-haptic_20250402_120524.wav,0
2025-04-02 12:05:25.809324,none,-258,6624,-5188,14,2,32,u1l_non-haptic,audio_u1l_non-haptic_20250402_120524.wav,0
2025-04-02 12:05:25.814341,none,-264,6504,-5228,19,3,14,u1l_non-haptic,audio_u1l_non-haptic_20250402_120524.wav,0
2025-04-02 12:05:25.819519,none,-283,6434,-5212,20,5,-10,u1l_non-haptic,audio_u1l_non-haptic_20250402_120524.wav,0
2025-04-02 12:05:25.824546,none,-319,6411,-5228,18,4,-28,u1l_non-haptic,audio_u1l_non-haptic_20250402_120524.wav,0
2025-04-02 12:05:25.829572,none,-373,6452,-5131,32,-3,-57,u1l_non-haptic,audio_u1l_non-haptic_20250402_120524.wav,0
2025-04-02 12:05:25.837272,cross,-327,6709,-5057,53,-5,-66,u1l_non-haptic,audio_u1l_non-haptic_20250402_120524.wav,0
2025-04-02 12:05:25.842303,cross,-421,5620,-5045,141,-9,-129,u1l_non-haptic,audio_u1l_non-haptic_20250402_120524.wav,0
2025-04-02 12:05:25.847340,cross,-411,5378,-5215,59,-6,-118,u1l_non-haptic,audio_u1l_non-haptic_20250402_120524.wav,0
2025-04-02 12:05:25.852370,cross,-336,5310,-5205,-26,-14,-108,u1l_non-haptic,audio_u1l_non-haptic_20250402_120524.wav,0
2025-04-02 12:05:25.857393,cross,-406,5523,-5235,-188,-45,-81,u1l_non-haptic,audio_u1l_non-haptic_20250402_120524.wav,0
