timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file,group_index
2025-04-02 11:55:46.474546,none,-1099,7311,-3577,-3,-15,11,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.479564,none,-1111,7358,-3608,-16,-14,8,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.484578,none,-1121,7401,-3620,-13,-15,5,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.489604,none,-1096,7405,-3627,-7,-13,0,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.494630,none,-1122,7392,-3595,1,-11,-6,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.499649,none,-1024,7279,-3585,0,-18,-19,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.504666,none,-997,7280,-3537,-3,-22,-25,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.509225,none,-1008,7251,-3574,-13,-27,-31,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.514345,none,-1014,7267,-3563,-25,-28,-44,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.519369,none,-915,7475,-3432,-27,-34,-74,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.524386,cross,-813,7753,-3222,6,-44,-83,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.529427,cross,-1085,6846,-3384,43,-42,-166,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.537568,cross,-1106,6834,-3487,22,-26,-217,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.542587,cross,-1218,6864,-3557,-36,-16,-265,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.547609,cross,-1247,6925,-3657,-57,-9,-332,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.552627,cross,-1257,7014,-3666,-55,-9,-361,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.557659,cross,-1308,7022,-3700,-52,-12,-390,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.562689,cross,-1375,7063,-3715,-54,-6,-409,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.567394,cross,-1271,7224,-3727,-69,5,-418,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.572418,cross,-1305,7192,-3752,-92,13,-414,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.577450,cross,-1263,7275,-3765,-129,24,-413,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.582477,cross,-1124,7451,-3691,-152,29,-405,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.587498,cross,-973,7657,-3442,-159,12,-362,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.592515,cross,-1071,7801,-3378,-156,-2,-335,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.597540,cross,-1192,7924,-3267,-153,-15,-295,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.602566,cross,-1290,8042,-3226,-151,-30,-263,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.607586,cross,-1383,8260,-3184,-133,-51,-193,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.612606,cross,-1410,8265,-3162,-110,-57,-157,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.617140,cross,-1419,8221,-3117,-90,-61,-125,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.622161,cross,-1465,8208,-3097,-67,-64,-87,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.627190,cross,-1498,8181,-3111,-47,-60,-50,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.632216,cross,-1472,8104,-3103,-10,-53,21,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.637241,cross,-1494,8057,-3105,0,-45,52,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.642268,cross,-1490,8017,-3096,10,-41,75,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.647289,cross,-1531,7957,-3111,14,-35,100,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.652308,cross,-1495,7876,-3077,20,-39,147,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.657336,cross,-1507,7783,-3120,18,-44,171,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.662569,cross,-1460,7729,-3208,6,-49,192,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.667006,cross,-1406,7741,-3214,-2,-55,209,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.674234,cross,-1345,7739,-3257,-14,-69,241,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.679260,cross,-1312,7686,-3267,-15,-73,251,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.684306,cross,-1287,7629,-3271,-13,-70,251,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.689350,cross,-1322,7591,-3321,-4,-67,248,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.694616,cross,-1339,7622,-3337,8,-60,245,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.699629,cross,-1345,7566,-3410,33,-48,240,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.704652,cross,-1345,7564,-3461,44,-41,239,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.709685,cross,-1319,7584,-3446,50,-37,242,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.714714,cross,-1340,7610,-3458,50,-37,248,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.719885,cross,-1319,7718,-3405,58,-43,273,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.724905,cross,-1274,7734,-3400,64,-46,283,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.729922,cross,-1203,7704,-3351,72,-52,287,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.734939,cross,-1210,7663,-3301,83,-61,292,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.739955,cross,-1202,7477,-3346,104,-66,283,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.744977,cross,-1188,7387,-3329,103,-67,281,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.749997,cross,-1186,7385,-3389,103,-70,273,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.755017,cross,-1174,7340,-3397,93,-69,275,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.760038,none,-1078,7315,-3395,82,-74,269,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.765060,none,-1149,7228,-3448,71,-76,262,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.770088,none,-1222,6881,-3504,47,-71,246,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:46.775119,none,-1221,7206,-3591,23,-58,215,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,0
2025-04-02 11:55:47.235098,none,-1042,7570,-3449,-20,-6,-15,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,1
2025-04-02 11:55:47.239995,none,-1062,7640,-3432,-3,-4,-15,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,1
2025-04-02 11:55:47.244721,none,-1062,7625,-3398,2,-1,-12,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav,1
