timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file,group_index
2025-04-02 12:02:07.776095,none,-455,5215,-5914,206,17,38,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.781173,none,-366,4894,-6100,175,26,10,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.786318,none,-229,4855,-6162,154,27,-3,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.791332,none,-222,4842,-6191,125,18,-16,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.795560,none,-281,4874,-6212,99,7,-24,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.801162,none,-388,4865,-6242,73,0,-23,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.806713,none,-371,5058,-6354,20,-16,-1,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.810795,none,-411,5071,-6381,-1,-24,10,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.815864,none,-434,5171,-6373,-27,-25,17,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.820990,none,-384,5385,-6354,-60,-24,31,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.826100,none,-349,5450,-6304,-69,-24,34,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.831211,none,-372,5537,-6250,-75,-20,32,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.837164,none,-314,5767,-6185,-73,-19,21,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.842251,none,-349,5866,-6112,-67,-16,9,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.846872,none,-376,5923,-6098,-56,-13,2,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.851949,none,-385,5987,-6068,-37,-10,-6,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:08.168542,none,-429,5431,-6179,10,9,-5,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.173587,none,-384,5465,-6226,-8,5,-6,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.178668,none,-385,5514,-6206,-16,1,-7,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.183741,none,-424,5559,-6200,-19,1,-7,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.188842,none,-411,5555,-6239,-25,-3,-7,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.193925,none,-401,5549,-6238,-28,-4,-10,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.199813,none,-418,5517,-6209,-36,-3,-9,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.204990,none,-451,5430,-6303,-63,-1,-3,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.209652,none,-465,5419,-6296,-76,0,4,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.214722,none,-365,5532,-6222,-88,4,13,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.219807,cross,-126,6381,-5876,-71,-12,43,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
2025-04-02 12:02:08.224985,cross,-188,4877,-6296,-94,8,-29,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,1
