timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file
2025-04-21T15:54:09.495812,none,910,6643,-4898,-2,-7,13,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.500522,none,916,6663,-4912,-3,-7,11,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.504573,none,869,6661,-4876,0,-6,11,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.509119,none,864,6659,-4879,4,-3,7,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.513264,none,878,6650,-4860,7,-3,8,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.517772,none,876,6653,-4868,8,-2,9,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.521848,none,874,6638,-4899,9,-2,10,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.525998,none,875,6645,-4913,10,-3,11,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.530200,none,862,6595,-4924,14,-4,9,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.534245,none,871,6568,-4906,10,-4,11,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.538729,none,857,6576,-4924,10,-3,6,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.542777,none,874,6557,-4927,5,-4,9,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.546859,none,845,6505,-4917,3,-4,8,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.551287,none,850,6553,-4929,0,-3,4,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.555321,none,837,6582,-4911,-8,0,6,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.559845,none,830,6577,-4952,-12,1,3,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.563888,none,868,6605,-4936,-14,4,-1,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.567929,none,856,6620,-4922,-16,5,-5,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.571966,none,873,6631,-4905,-18,11,-6,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.576033,none,841,6626,-4897,-21,12,-8,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.580551,none,854,6623,-4864,-20,14,-10,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.585098,none,858,6610,-4875,-17,16,-16,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.589148,none,878,6656,-4891,-19,15,-14,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.593607,none,857,6677,-4879,-16,15,-14,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.598159,none,838,6648,-4870,-16,16,-12,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.602235,none,811,6650,-4905,-11,19,-8,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.606271,none,855,6652,-4871,-10,18,-4,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.610609,none,835,6669,-4873,-6,15,2,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.614902,none,840,6685,-4888,-2,9,8,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.619392,none,853,6706,-4903,1,9,16,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.623430,none,839,6680,-4873,1,4,23,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.627465,none,818,6730,-4893,2,3,30,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.631565,none,843,6708,-4892,4,-1,37,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.635985,none,834,6701,-4909,4,-4,36,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.640163,none,832,6696,-4921,3,-5,41,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.644200,none,864,6682,-4931,3,-9,39,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.648272,none,862,6648,-4935,3,-11,34,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.652661,none,852,6691,-4969,1,-13,33,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.657201,none,847,6686,-4938,0,-14,26,user1,user1_20250421_155407.wav
2025-04-21T15:54:09.661235,none,877,6690,-4894,1,-14,24,user1,user1_20250421_155407.wav
